player,pos,team,rec,yds_rec,tds_rec,att_rush,yds_rush,tds_rush,fl,att_pass,cmp,yds_pass,tds_pass,ints,fpts,sacks,ints,frs,ffs,tds,safeties,pas,yds_against,fg,fga,xpt
Albert Wilson,WR,MIA,50.5,666.1,3.6,12,43.5,0.2,0.6,0,0,0,0,0,92.6,0,0,0,0,0,0,0,0,0,0,0
DaeSean Hamilton,WR,DEN,65,646.3,4.7,0,0,0,0.7,0,0,0,0,0,91.5,0,0,0,0,0,0,0,0,0,0,0
Marquise Goodwin,WR,SF,37.9,630.1,4.4,3.4,18.7,0,0.1,0,0,0,0,0,91.4,0,0,0,0,0,0,0,0,0,0,0
John Brown,WR,BUF,40.4,644.9,4.4,1,2,0,0.1,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Sanders,WR,DEN,57.2,682.8,2.6,2.6,27.2,0.5,0.6,0,0,0,0,0,88.5,0,0,0,0,0,0,0,0,0,0,0
Marquez Valdes-Scantling,WR,GB,44.7,665.8,3.2,2.8,25.6,0,0.6,0,0,0,0,0,87.1,0,0,0,0,0,0,0,0,0,0,0
Mecole Hardman,WR,KC,38.1,581.7,4.2,6.6,38.2,0.2,0.6,0,0,0,0,0,86.8,0,0,0,0,0,0,0,0,0,0,0
Paul Richardson,WR,WAS,44.7,632,3.6,2.9,16.5,0,0.1,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0
D.K. Metcalf,WR,SEA,36.3,550.7,5.3,1,6,0,0.6,0,0,0,0,0,86.1,0,0,0,0,0,0,0,0,0,0,0
Anthony Miller,WR,CHI,35.9,476.3,5.9,4.5,24,0,0.1,0,0,0,0,0,85.6,0,0,0,0,0,0,0,0,0,0,0
Andy Isabella,WR,ARI,44.4,600.5,3.7,3.8,22.8,0.1,0.3,0,0,0,0,0,84.2,0,0,0,0,0,0,0,0,0,0,0
Ted Ginn,WR,NO,41.5,557.9,3.8,9.4,56.9,0.1,0.6,0,0,0,0,0,83.5,0,0,0,0,0,0,0,0,0,0,0
Devin Funchess,WR,IND,42.7,535.5,4.9,0,0,0,0.1,0,0,0,0,0,82.8,0,0,0,0,0,0,0,0,0,0,0
Zay Jones,WR,BUF,42.4,520.4,5.1,0.5,0,0,0.1,0,0,0,0,0,82.4,0,0,0,0,0,0,0,0,0,0,0
Deebo Samuel,WR,SF,43.3,604.3,3.5,2.9,17.5,0.1,0.6,0,0,0,0,0,82.2,0,0,0,0,0,0,0,0,0,0,0
David Moore,WR,SEA,34,520.3,5,0.5,2.5,0,0.1,0,0,0,0,0,81.9,0,0,0,0,0,0,0,0,0,0,0
Josh Doctson,WR,WAS,47.5,590.8,3.3,0,-1,0,0.1,0,0,0,0,0,78.8,0,0,0,0,0,0,0,0,0,0,0
Quincy Enunwa,WR,NYJ,51.9,637.2,2.7,0.5,0,0,0.7,0,0,0,0,0,78.3,0,0,0,0,0,0,0,0,0,0,0
Devante Parker,WR,MIA,50.9,606.9,2.7,0,0,0,0.3,0,0,0,0,0,76.4,0,0,0,0,0,0,0,0,0,0,0
Antonio Callaway,WR,CLE,38.3,520.8,4.2,1,3,0,0.6,0,0,0,0,0,76.3,0,0,0,0,0,0,0,0,0,0,0
Adam Humphries,WR,TEN,55.6,575.1,2.3,3.1,18.9,0.1,0.6,0,0,0,0,0,72.4,0,0,0,0,0,0,0,0,0,0,0
D.J. Chark,WR,JAC,43.8,563.5,2.7,0,0,0,0.3,0,0,0,0,0,72.3,0,0,0,0,0,0,0,0,0,0,0
Tre'Quan Smith,WR,NO,32.5,457.7,4.4,0.5,3,0,0.1,0,0,0,0,0,72.2,0,0,0,0,0,0,0,0,0,0,0
Demaryius Thomas,WR,NE,40.5,505.4,3.4,0,0,0,0.6,0,0,0,0,0,69.8,0,0,0,0,0,0,0,0,0,0,0
Breshad Perriman,WR,TB,29.1,526,2.6,3.8,11.9,0,0.1,0,0,0,0,0,69.4,0,0,0,0,0,0,0,0,0,0,0
Taylor Gabriel,WR,CHI,49.1,514.2,1.9,8,55.8,0.1,0.7,0,0,0,0,0,67.8,0,0,0,0,0,0,0,0,0,0,0
Cole Beasley,WR,BUF,50,537.6,2.4,0,0,0,0.1,0,0,0,0,0,67.6,0,0,0,0,0,0,0,0,0,0,0
A.J. Brown,WR,TEN,38.1,488.3,3.1,1,6,0,0.6,0,0,0,0,0,66.9,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,PHI,40.9,460.3,3,3.5,28.8,0.1,0.1,0,0,0,0,0,66.8,0,0,0,0,0,0,0,0,0,0,0
Randall Cobb,WR,DAL,44.3,473.3,3.1,4.1,15.6,0.1,0.6,0,0,0,0,0,66.4,0,0,0,0,0,0,0,0,0,0,0
Rashard Higgins,WR,CLE,34.1,473.6,3.3,0,0.5,0,0.6,0,0,0,0,0,66.3,0,0,0,0,0,0,0,0,0,0,0
Danny Amendola,WR,DET,60.4,559.1,1.7,1.5,6,0,0.6,0,0,0,0,0,65.6,0,0,0,0,0,0,0,0,0,0,0
Robert Foster,WR,BUF,29.8,486,2.7,0,0,0,0.1,0,0,0,0,0,64.8,0,0,0,0,0,0,0,0,0,0,0
Willie Snead,WR,BAL,52.3,569.8,1.5,0,0,0,0.7,0,0,0,0,0,64.7,0,0,0,0,0,0,0,0,0,0,0
Demarcus Robinson,WR,KC,29.2,385.6,3.5,0,0,0,0.1,0,0,0,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0
Travis Benjamin,WR,LAC,26.9,390.8,2.3,9,56.4,0.1,0.1,0,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,0
Trey Quinn,WR,WAS,34.2,425.9,2.2,3.8,22.9,0.1,0.2,0,0,0,0,0,58.1,0,0,0,0,0,0,0,0,0,0,0
Hakeem Butler,WR,ARI,25.8,396.7,3.1,0,0,0,0.2,0,0,0,0,0,57.7,0,0,0,0,0,0,0,0,0,0,0
Miles Boykin,WR,BAL,30.4,425.3,2.5,0,0,0,0.2,0,0,0,0,0,56.9,0,0,0,0,0,0,0,0,0,0,0
John Ross,WR,CIN,26.4,277.7,4.5,4.4,18.2,0,0.1,0,0,0,0,0,56.4,0,0,0,0,0,0,0,0,0,0,0
Tim Patrick,WR,DEN,33.6,428.7,1.8,3.9,23.3,0.1,0.2,0,0,0,0,0,56.3,0,0,0,0,0,0,0,0,0,0,0
Chris Conley,WR,JAC,36.2,409.1,2.4,0,0,0,0.3,0,0,0,0,0,54.6,0,0,0,0,0,0,0,0,0,0,0
Phillip Dorsett,WR,NE,28.2,335.9,2.9,3.2,21.1,0,0.1,0,0,0,0,0,53.3,0,0,0,0,0,0,0,0,0,0,0
Keelan Cole,WR,JAC,30.5,449.3,1.4,0,0,0,1.1,0,0,0,0,0,51.3,0,0,0,0,0,0,0,0,0,0,0
Chris Hogan,WR,CAR,25.7,343.5,2.4,0.5,3,0,0.1,0,0,0,0,0,49.1,0,0,0,0,0,0,0,0,0,0,0
Jarius Wright,WR,CAR,32.2,343.1,2,4.2,25,0.1,0.3,0,0,0,0,0,48.7,0,0,0,0,0,0,0,0,0,0,0
Equanimeous St. Brown,WR,GB,29.2,421.1,0.8,0.5,3.5,0,0.1,0,0,0,0,0,47.1,0,0,0,0,0,0,0,0,0,0,0
Jakeem Grant,WR,MIA,30.9,379.4,1.5,0,0,0,0.2,0,0,0,0,0,46.5,0,0,0,0,0,0,0,0,0,0,0
Josh Reynolds,WR,LAR,20.2,269.8,2.7,4.2,28,0.1,0,0,0,0,0,0,46.3,0,0,0,0,0,0,0,0,0,0,0
Diontae Johnson,WR,PIT,27.4,347.1,1.5,3.8,22.8,0.1,0.2,0,0,0,0,0,45.9,0,0,0,0,0,0,0,0,0,0,0
Chad Beebe,WR,MIN,32.8,366.1,1.5,0,0,0,0.2,0,0,0,0,0,44.9,0,0,0,0,0,0,0,0,0,0,0
Terry McLaurin,WR,WAS,25.8,352.6,1.6,0,0,0,0.2,0,0,0,0,0,44.4,0,0,0,0,0,0,0,0,0,0,0
Justin Hardy,WR,ATL,24.2,258.7,2.9,0,0,0,0.1,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
Jaron Brown,WR,SEA,16.8,216.4,3.2,0,0,0,0,0,0,0,0,0,40.6,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurd,WR,SF,19.9,251.4,1.6,5.7,34.5,0.2,0.1,0,0,0,0,0,38.9,0,0,0,0,0,0,0,0,0,0,0
J.J. Nelson,WR,OAK,19.4,252.7,1.8,3.5,22.8,0.1,0.2,0,0,0,0,0,38.9,0,0,0,0,0,0,0,0,0,0,0
Cody Latimer,WR,NYG,18.7,277,1.5,0,0,0,0.1,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0
Riley Ridley,WR,CHI,19.3,249.6,1.8,0,0,0,0.1,0,0,0,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0
J.J. Arcega-Whiteside,WR,PHI,16.6,225.7,2.2,0,0,0,0.1,0,0,0,0,0,35.4,0,0,0,0,0,0,0,0,0,0,0
Kelvin Harmon,WR,WAS,18.7,266.9,1.5,0,0,0,0.1,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0
Keith Kirkwood,WR,NO,15.3,204.1,2.3,0,0,0,0,0,0,0,0,0,34.2,0,0,0,0,0,0,0,0,0,0,0
Hunter Renfrow,WR,OAK,23.7,257.2,1,0,0,0,0.1,0,0,0,0,0,31.6,0,0,0,0,0,0,0,0,0,0,0
Justin Watson,WR,TB,17.6,216.2,1.5,0,0,0,0.1,0,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,0
Kendrick Bourne,WR,SF,17.5,216,1.5,0,0,0,0,0,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,0
Jordan Matthews,WR,SF,12.5,206.5,1.5,0,0,0,0,0,0,0,0,0,29.7,0,0,0,0,0,0,0,0,0,0,0
Johnny Holton,WR,PIT,6,145,2.5,0,0,0,0.5,0,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0
Trent Sherfield,WR,ARI,18,214,1,0,0,0,0,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0
Cordarrelle Patterson,WR,CHI,7.2,78.6,0.5,16,96.8,0.5,0.1,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0
Tavon Austin,WR,DAL,9.9,97.5,0.7,10.2,58.7,0.3,0.1,0,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0
Chris Moore,WR,BAL,10.8,134.4,0.7,5.5,31.3,0.1,0.1,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0,0,0,0
Eli Rogers,WR,PIT,13.1,123.9,0.7,5.7,34.2,0.2,0.1,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0
Laquon Treadwell,WR,MIN,14.4,148.9,0.9,0,0,0,0.1,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0
Cameron Meredith,WR,NO,10.9,148.8,0.9,0,0,0,0.1,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0
Jake Kumerow,WR,GB,10.7,137.8,0.9,0,0,0,0.1,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0
Deon Cain,WR,IND,11,142.8,0.8,0,0,0,0.1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Travis Fulgham,WR,DET,9.8,129.8,0.6,0,0,0,0.1,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0
KeeSean Johnson,WR,ARI,9.5,128.7,0.6,0,0,0,0.1,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0
Corey Coleman,WR,NYG,8.9,110.1,0.8,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0
Torrey Smith,WR,CAR,8.5,97.1,0.8,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0
Chester Rogers,WR,IND,8.4,80.6,0.5,4,23.8,0.1,0.1,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0
Russell Gage,WR,ATL,7.1,90.7,0.7,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0
Braxton Berrios,WR,NE,8.2,97.4,0.4,0,0,0,0.1,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0
Isaiah McKenzie,WR,BUF,2.9,35.3,0.2,8.5,51.5,0.4,0.1,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0
Darius Slayton,WR,NYG,6.2,88.3,0.5,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0
Richie James,WR,SF,6.8,85.2,0.5,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0
Deontay Burnett,WR,NYJ,6.3,84.3,0.5,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0
Gehrig Dieter,WR,KC,6.5,77.8,0.6,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0
Marcell Ateman,WR,OAK,7,83.1,0.5,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0
Josh Bellamy,WR,NYJ,5.9,72.9,0.5,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0
Ryan Grant,WR,OAK,7.7,78.8,0.4,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0
Taywan Taylor,WR,TEN,5.6,73.9,0.4,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0
Preston Williams,WR,MIA,6,72.1,0.3,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0
Alex Erickson,WR,CIN,5.2,58.1,0.3,1.9,11.2,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0
Seth Roberts,WR,BAL,5.8,61.5,0.3,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0
Dylan Cantrell,WR,LAC,4.6,54.3,0.4,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0
Damion Ratley,WR,CLE,3.4,44.5,0.3,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0
Mack Hollins,WR,PHI,3.5,44.4,0.3,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0
Trevor Davis,WR,GB,3.5,45.2,0.3,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0
Jordan Taylor,WR,MIN,3.3,43.6,0.3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Vyncint Smith,WR,HOU,3,41.9,0.3,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0
Ryan Switzer,WR,PIT,4.8,39.5,0.3,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0
Bennie Fowler,WR,NYG,3.3,39.8,0.3,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0
Ricardo Louis,WR,MIA,3.2,42.6,0.2,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0
DeAndre Carter,WR,HOU,3.4,40.2,0.2,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0
Cody Core,WR,CIN,3.2,40.7,0.2,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0
Andy Jones,WR,DET,3.3,38,0.2,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0
Bobo Wilson,WR,TB,3.3,37.1,0.2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Tajae Sharpe,WR,TEN,2.8,32.9,0.2,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0
Andre Roberts,WR,BUF,2.9,35.6,0.2,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0
Jordan Lasley,WR,BAL,2.5,29.9,0.2,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0
Noah Brown,WR,DAL,2,25.6,0.2,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
River Cracraft,WR,DEN,2.4,27.6,0.1,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
Marcus Kemp,WR,KC,1.6,19.7,0.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Dwayne Harris,WR,OAK,0,0,0,3.5,21.1,0.1,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0
Geremy Davis,WR,LAC,1.5,18.1,0.1,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0
Allen Hurns,WR,DAL,1.2,16.1,0.1,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0
Artavis Scott,WR,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Proehl,WR,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlton Agudosi,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittan Golden,WR,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Quick,WR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Thompson,WR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Willies,WR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Adeboyejo,WR,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Bolden Jr.,WR,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaelen Strong,WR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommylee Lewis,WR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Jennings,WR,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
